DateKey,Date,Day,DayName,Month,MonthName,Quarter,Year,WeekOfYear,DayOfWeek,IsWeekend,IsPublicHoliday,HolidayName,Season
20230709,2023-07-09,9,Sunday,7,July,Q3,2023,27,7,1,0,,Southwest Monsoon
20230710,2023-07-10,10,Monday,7,July,Q3,2023,28,1,0,0,,Southwest Monsoon
20230711,2023-07-11,11,Tuesday,7,July,Q3,2023,28,2,0,0,,Southwest Monsoon
20230712,2023-07-12,12,Wednesday,7,July,Q3,2023,28,3,0,0,,Southwest Monsoon
20230713,2023-07-13,13,Thursday,7,July,Q3,2023,28,4,0,0,,Southwest Monsoon
20230714,2023-07-14,14,Friday,7,July,Q3,2023,28,5,0,0,,Southwest Monsoon
20230715,2023-07-15,15,Saturday,7,July,Q3,2023,28,6,1,0,,Southwest Monsoon
20230716,2023-07-16,16,Sunday,7,July,Q3,2023,28,7,1,0,,Southwest Monsoon
20230717,2023-07-17,17,Monday,7,July,Q3,2023,29,1,0,0,,Southwest Monsoon
20230718,2023-07-18,18,Tuesday,7,July,Q3,2023,29,2,0,0,,Southwest Monsoon
20230719,2023-07-19,19,Wednesday,7,July,Q3,2023,29,3,0,1,Awal Muharram,Southwest Monsoon
20230720,2023-07-20,20,Thursday,7,July,Q3,2023,29,4,0,0,,Southwest Monsoon
20230721,2023-07-21,21,Friday,7,July,Q3,2023,29,5,0,0,,Southwest Monsoon
20230722,2023-07-22,22,Saturday,7,July,Q3,2023,29,6,1,0,,Southwest Monsoon
20230723,2023-07-23,23,Sunday,7,July,Q3,2023,29,7,1,0,,Southwest Monsoon
20230724,2023-07-24,24,Monday,7,July,Q3,2023,30,1,0,0,,Southwest Monsoon
20230725,2023-07-25,25,Tuesday,7,July,Q3,2023,30,2,0,0,,Southwest Monsoon
20230726,2023-07-26,26,Wednesday,7,July,Q3,2023,30,3,0,0,,Southwest Monsoon
20230727,2023-07-27,27,Thursday,7,July,Q3,2023,30,4,0,0,,Southwest Monsoon
20230728,2023-07-28,28,Friday,7,July,Q3,2023,30,5,0,0,,Southwest Monsoon
20230729,2023-07-29,29,Saturday,7,July,Q3,2023,30,6,1,0,,Southwest Monsoon
20230730,2023-07-30,30,Sunday,7,July,Q3,2023,30,7,1,0,,Southwest Monsoon
20230731,2023-07-31,31,Monday,7,July,Q3,2023,31,1,0,0,,Southwest Monsoon
20230801,2023-08-01,1,Tuesday,8,August,Q3,2023,31,2,0,0,,Southwest Monsoon
20230802,2023-08-02,2,Wednesday,8,August,Q3,2023,31,3,0,0,,Southwest Monsoon
20230803,2023-08-03,3,Thursday,8,August,Q3,2023,31,4,0,0,,Southwest Monsoon
20230804,2023-08-04,4,Friday,8,August,Q3,2023,31,5,0,0,,Southwest Monsoon
20230805,2023-08-05,5,Saturday,8,August,Q3,2023,31,6,1,0,,Southwest Monsoon
20230806,2023-08-06,6,Sunday,8,August,Q3,2023,31,7,1,0,,Southwest Monsoon
20230807,2023-08-07,7,Monday,8,August,Q3,2023,32,1,0,0,,Southwest Monsoon
20230808,2023-08-08,8,Tuesday,8,August,Q3,2023,32,2,0,0,,Southwest Monsoon
20230809,2023-08-09,9,Wednesday,8,August,Q3,2023,32,3,0,0,,Southwest Monsoon
20230810,2023-08-10,10,Thursday,8,August,Q3,2023,32,4,0,0,,Southwest Monsoon
20230811,2023-08-11,11,Friday,8,August,Q3,2023,32,5,0,0,,Southwest Monsoon
20230812,2023-08-12,12,Saturday,8,August,Q3,2023,32,6,1,0,,Southwest Monsoon
20230813,2023-08-13,13,Sunday,8,August,Q3,2023,32,7,1,0,,Southwest Monsoon
20230814,2023-08-14,14,Monday,8,August,Q3,2023,33,1,0,0,,Southwest Monsoon
